Timestamp,Item Description,Brand,Lot/Serial #,Expiration,IAR #,IAR Date,Delivery Date,Quantity,Pack Size,Loose,Unit,Total,Location,Supplier/Donor,Manufacturer,Origin,Acquisition Mode,Expiration,Remarks,Condition,Fund Source,Acquisition Cost,Category,User,Status
14:13:49 8/31/2022,"Table Office, L-Type  Brown  ",,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:13:49 8/31/2022,"Table Office, L-Type  Brown  ",,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:13:49 8/31/2022,Table Office    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Borrowed from COA.,Good Condition,,,,Kristoffer Ian Buñag,
14:30:50 8/31/2022,Bin Trash  Green  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Issued by House Keeping.,Good Condition,,0,,Kristoffer Ian Buñag,
14:31:26 8/31/2022,Bin Trash  Green  ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Issued by House Keeping.,Good Condition,,,,Kristoffer Ian Buñag,
14:32:27 8/31/2022,Bin Trash  Yellow  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Issued by House Keeping.,Good Condition,,0,,Kristoffer Ian Buñag,
14:32:27 8/31/2022,Bin Trash  Black  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Issued by House Keeping.,Good Condition,,,,Kristoffer Ian Buñag,
14:32:27 8/31/2022,Cabinet   Gray  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:32:27 8/31/2022,Table Computer    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:32:27 8/31/2022,Board Cork    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Board Cork    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,0,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Table Wooden    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Alcohol    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,950,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Alcohol    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,950,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Alcohol    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,950,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Alcohol    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,950,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Alcohol    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,950,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Alcohol    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,950,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Computer Monitor K202HQL   ,Acer,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Lab-OPD.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Computer CPU    ,Acer,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Lab-OPD.,Good Condition,,34450,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Desk Computer  Brown  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Table Office  Brown  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Whiteboard     ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Covid Ward.,Good Condition,,2990,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Refrigerator  NR-A568SE   ,Panasonic,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Donation.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Whiteboard     ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Whiteboard     ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Whiteboard     ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Dispenser Paper Towel    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Airconditioner     ,Koppel,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Petro.,Good Condition,,,,Kristoffer Ian Buñag,
14:39:39 8/31/2022,Airconditioner     ,Koppel,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Petro.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Phone Intercom Phone    ,Grandstream,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,0,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Phone Intercom Phone    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer Monitor    ,AOC,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Dental.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer CPU    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Dental.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer CPU    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Dental.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer AVR    ,Elite,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Dental.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer UPS    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by Dental.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer Monitor    ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,Owned by OPD.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer Monitor    ,Acer,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Computer Desktop    ,Acer,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
15:45:21 8/31/2022,Cabinet   Gray  ,,,NOT INDICATED,,,,,,,,1,IPCC,,,,Purchase,,No Remarks.,Good Condition,,,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Computer AVR Philec   ,SVC Stavol,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Condemned.,,,4250,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Stationary Bicycle     ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Condemned.,,,5395,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Chair Monobloc    ,Diamond,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,"Total 4 units, 2 missing.",,,249.5,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Chair Monobloc    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,"Total 4 units, 2 missing.",,,249.5,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Weighing Scale     ,Detecto,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Condemned. ,,,,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Bicycle Small    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,,,,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,"Crutches Wooden, Adult    ",,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Donation.,,,,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,"Crutches Wooden, Child    ",,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Donation.,,,,,Kristoffer Ian Buñag,
16:12:0 8/31/2022,Handicap  6820   ,Bench Grinder Black & Decker,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Biomed storage.,,,,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,Handicap Drill Press    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Biomed.,,,0,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,Handicap Plain Cutter    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Biomed.,,,,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,Handicap Anvil    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Ortho.,,,,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,Ultrasound Machine     ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Not found in the area.,,,73995,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,Chair Executive    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Donation.,,,30246,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,"Arm, Root and Leg     ",Whirlpool,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,At storage.,Functional,,,,Kristoffer Ian Buñag,
8:34:20 9/1/2022,Walker  202 8005445155 Blue  ,Willy Walker,Rehab,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Condemned.,,,,,Kristoffer Ian Buñag,
8:57:12 9/1/2022,Blood Pressure  UM-101   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,At blood bank.,,,12000,,Kristoffer Ian Buñag,
8:57:12 9/1/2022,Blood Pressure Desk Type UM-101   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,At Blood Bank.,,,12000,,Kristoffer Ian Buñag,
8:57:12 9/1/2022,Computer Desktop    ,,,NOT INDICATED,,,,,,,,1,Tzu Chi Rehab,,,,Purchase,,No Remarks.,,,23980,,Kristoffer Ian Buñag,
8:57:12 9/1/2022,Airconditioner Tower Type KFM 36E2   ,Koppel,,NOT INDICATED,,,,,,,,1,Tzu Chi Rehab,,,,Purchase,,At Biomed. (Donation),,,50000,,Kristoffer Ian Buñag,
8:57:12 9/1/2022,Wheel Chair     ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Functional. SN:DIME-17-0051A to DIME-17-0051E,Good Condition,,3225.59,,Kristoffer Ian Buñag,
9:30:41 9/1/2022,Wheel Chair     ,,,NOT INDICATED,,,,0,0,4,,4,,,,,Purchase,NOT INDICATED,Functional. SN:DIME-17-0051A to DIME-17-0051E,Good Condition,,,,Kristoffer Ian Buñag,
9:33:20 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
9:33:20 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
9:33:20 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
9:49:28 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
9:55:51 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,Condemned.,,,38000,,Kristoffer Ian Buñag,
9:55:51 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
9:55:51 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
10:42:8 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
10:42:8 9/1/2022,Electrical Stimulator Potable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
10:42:8 9/1/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,38000,,Kristoffer Ian Buñag,
12:58:34 9/1/2022,Ultrasound Machine Therapeutic Sonopuls 490   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,175000,,Kristoffer Ian Buñag,
12:58:34 9/1/2022,Ultrasound Machine Therapeutic Sonopuls 490   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,175000,,Kristoffer Ian Buñag,
12:58:34 9/1/2022,Laser Machine Low Level Endolaser 422   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,296000,,Kristoffer Ian Buñag,
12:58:34 9/1/2022,Lumbar Traction Machine  Eletrac-471   ,,,NOT INDICATED,,,,,,,,1,Tzu Chi Rehab,,,,Purchase,,No Remarks.,Good Condition,,275000,,Kristoffer Ian Buñag,
12:58:34 9/1/2022,Lumbar Traction Machine  Eletrac-471   ,,,NOT INDICATED,,,,,,,,1,Tzu Chi Rehab,,,,Purchase,,No Remarks.,Good Condition,,275000,,Kristoffer Ian Buñag,
16:31:44 9/1/2022,Paraffin Wax Bath Machine     ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,129600,,Kristoffer Ian Buñag,
16:31:44 9/1/2022,Lumbar Traction Table     ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,165000,,Kristoffer Ian Buñag,
16:31:44 9/1/2022,Cervical Traction Frame Mobile    ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,70000,,Kristoffer Ian Buñag,
16:31:44 9/1/2022,Intermittent Compression Pump     ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,Good Condition,,83000,,Kristoffer Ian Buñag,
16:31:44 9/1/2022,Shockwave  BTL-6000   ,,,NOT INDICATED,,,,,,,,1,Tzu Chi Rehab,,,,Purchase,,No Remarks.,Good Condition,,849000,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Printer Inkjet L-360   ,Epson,,NOT INDICATED,,,,,,,,1,Drug Rehab,,,,Purchase,,Not found in the area.,,,16582,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Printer Inkjet L-360   ,Epson,,NOT INDICATED,,,,,,,,1,Drug Rehab,,,,Purchase,,Not found in the area.,,,16582,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Clinical Sphygmomanometer Mobile    ,Baum,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,,,18000,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,,,38195,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Electrical Stimulator Portable Tensmed S82   ,,,NOT INDICATED,,,,,,,,1,Rehab,,,,Purchase,,No Remarks.,,,38195,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Foam Mattress     ,,,NOT INDICATED,,,,,,,,1,Doctors Lounge,,,,Purchase,,Not found in the area.,,,3780,,Kristoffer Ian Buñag,
7:53:58 9/2/2022,Table Wooden    ,,,NOT INDICATED,,,,,,,,1,OB Modular,,,,Purchase,,"Table - OB Modular Room, 2 Chairs - Resident's Quarters.",Good Condition,,9800,,Kristoffer Ian Buñag,
8:38:0 9/2/2022,Foam Mattress     ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Not found in the area.,,,,,Kristoffer Ian Buñag,
8:43:13 9/2/2022,"Table Wooden, Square    ",,,NOT INDICATED,,,,,,,,1,Doctor's Lounge,,,,Purchase,,No Remarks.,Good Condition,,2600,,Kristoffer Ian Buñag,
8:43:13 9/2/2022,Fan Electric NSC-16   ,Standard,,NOT INDICATED,,,,,,,,1,Family Lounge,,,,Purchase,,Not found in the area.,,,1325,,Kristoffer Ian Buñag,
9:4:41 9/2/2022,Fan Electric NSC-16   ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Not found in the area.,,,,,Kristoffer Ian Buñag,
10:50:52 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Obsolete. ,,,2000,,Kristoffer Ian Buñag,
10:50:52 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,OB Library,,,,Purchase,,Part 1 found at doctors quarters.,Obsolete,,1400,,Kristoffer Ian Buñag,
10:50:52 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,OB Library,,,,Purchase,,No Remarks.,Obsolete,,1500,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,No Remarks.,Obsolete,,1500,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Bed Double Deck    ,,,NOT INDICATED,,,,,,,,1,Doctors Lounge,,,,Purchase,,Donation.,Good Condition,,10625,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,Obsolete,,800,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Handbook     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in area.,Obsolete,,299,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Book Prolog    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,Obsolete,,500,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Computer UPS    ,Tornado,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,Obsolete,,1102,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Vacuum     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,4950,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,OB Library,,,,Purchase,,No Remarks.,Obsolete,,1800,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,OB Library,,,,Purchase,,No Remarks.,Obsolete,,1250,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Book     ,,,NOT INDICATED,,,,,,,,1,OB Library,,,,Purchase,,No Remarks.,Obsolete,,1250,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Television  T2242   ,AOC,,NOT INDICATED,,,,,,,,1,Doctors Lounge,,,,Purchase,,No Remarks.,Good Condition,,10600,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Computer Desktop    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,22880,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Scissor Metal    ,,,NOT INDICATED,,,,,,,,1,Department Office,,,,Purchase,,No Remarks.,Good Condition,,55,,Kristoffer Ian Buñag,
11:2:11 9/2/2022,Speculum Small    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,400,,Kristoffer Ian Buñag,
12:57:24 9/2/2022,Speculum Small    ,,,NOT INDICATED,,,,0,0,4,,4,,,,,Purchase,NOT INDICATED,Not found in the area.,,,,,Kristoffer Ian Buñag,
12:57:47 9/2/2022,Speculum Medium    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,400,,Kristoffer Ian Buñag,
12:58:27 9/2/2022,Speculum Medium    ,,,NOT INDICATED,,,,0,0,4,,4,,,,,Purchase,NOT INDICATED,Not found in the area.,,,,,Kristoffer Ian Buñag,
13:0:23 9/2/2022,Speculum Large    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,400,,Kristoffer Ian Buñag,
13:1:30 9/2/2022,Speculum Medium    ,,,NOT INDICATED,,,,0,0,10,,10,,,,,Purchase,NOT INDICATED,Not found in the area.,,,,,Kristoffer Ian Buñag,
13:1:30 9/2/2022,Speculum Large    ,,,NOT INDICATED,,,,,,9,,9,,,,,Purchase,NOT INDICATED,Not found in the area.,,,,,Kristoffer Ian Buñag,
13:56:56 9/2/2022,Airconditioner Window SA186-P   ,Sanyo,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,19750,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Airconditioner Window SA-186P   ,Sanyo,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,19750,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Airconditioner Window SA-96P   ,Sanyo,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,13200,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Morcellator     ,,,NOT INDICATED,,,,,,,,1,OB-OR,,,,Purchase,,Not found in the area.,Good Condition,,1315000,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Printer 3-in-1 L-210   ,Epson,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,7950,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Computer Desktop    ,,,NOT INDICATED,,,,,,,,1,Department Office,,,,Purchase,,On site.,Good Condition,,24985,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Laparoscopy Set    ,Storz,,NOT INDICATED,,,,,,,,1,OB-OR,,,,Purchase,,Not found in the area.,,,2490000,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Book     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,Obsolete,,300,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Book     ,,,NOT INDICATED,,,,,,,,1,OB Library,,,,Purchase,,No Remarks.,Obsolete,,100,,Kristoffer Ian Buñag,
8:31:11 9/3/2022,Book     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,No Remarks.,,,3000,,Kristoffer Ian Buñag,
9:50:28 9/3/2022,Book     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,No Remarks.,Obsolete,,2500,,Kristoffer Ian Buñag,
9:53:2 9/3/2022,Cabinet Filing    ,,,NOT INDICATED,,,,,,,,1,Department Office,,,,Purchase,,On site.,Good Condition,,6495,,Kristoffer Ian Buñag,
9:53:2 9/3/2022,Cabinet Filing    ,,,NOT INDICATED,,,,,,,,1,Gynecologic Oncology and Coloscopy Unit,,,,Purchase,,No Remarks.,Good Condition,,6495,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,"Chair Gang, Stainless    ",,,NOT INDICATED,,,,,,,,1,OB 3rd floor Hallway,,,,Purchase,,Not found in the area.,,,8495,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,"Chair Gang, Stainless    ",,,NOT INDICATED,,,,,,,,1,OB 3rd floor Hallway,,,,Purchase,,Not found in the area.,,,8495,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,"Chair Gang, Stainless    ",,,NOT INDICATED,,,,,,,,1,OB 3rd floor Hallway,,,,Purchase,,Not found in the area.,,,8495,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,Colposcope  Zoom Scope   ,Wallach,,NOT INDICATED,,,,,,,,1,Gynecologic Oncology and Colposcopy Unit,,,,Purchase,,On site.,Good Condition,,1999500,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,Cryotherapy  LLCO2   ,Wallach,,NOT INDICATED,,,,,,,,1,Gynecologic Oncology and Colposcopy Unit,,,,Purchase,,No Remarks.,Good Condition,,299900,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,Ultrasound System Color HS40   ,Samsung ,,NOT INDICATED,,,,,,,,1,Labor Room,,,,Purchase,,Not found in the area.,,,3288000,,Kristoffer Ian Buñag,
10:13:31 9/3/2022,Ultrasound System Color HS40   ,Samsung,,NOT INDICATED,,,,,,,,1,Ultrasound Room,,,,Purchase,,No Remarks.,Good Condition,,3488000,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Projector  EB-U42   ,Epson,,NOT INDICATED,,,,,,,,1,Department Office,,,,Purchase,,Not found in the area.,,,45125,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Computer Desktop    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,29480,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Computer Desktop    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,29480,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Airconditioner Window    ,General Royal,,NOT INDICATED,,,,,,,,1,Department Office,,,,Purchase,,On site.,Good Condition,,28685,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Computer Laptop/Mobile Ideapad 330S-141KB   ,Lenovo,,NOT INDICATED,,,,,,,,1,Department Office,,,,Purchase,,On site.,Good Condition,,27495,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,"Mechanical Ventilator Adult, Pedia, Infant Savina 300   ",Drager,,NOT INDICATED,,,,,,,,1,OPD building Covid-19 Center,,,,Purchase,,Not found in the area.,,,1798990,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Airconditioner Window    ,General Royal,,NOT INDICATED,,,,,,,,1,Gynecologic Oncology and Colposcopy Unit,,,,Purchase,,No Remarks.,Good Condition,,31495,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Defibrilator  Beneheart D3   ,Mindray,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in the area.,,,423512.5,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Energy Platform With Cautery Features and Vessel-Sealing FT10   ,Valleylab,,NOT INDICATED,,,,,,,,1,OB-OR,,,,Purchase,,Not found in the area.,,,4293664,,Kristoffer Ian Buñag,
10:34:18 9/3/2022,Loop Electrosurgical Excision Procedure(LEEP)  LP-10-220   ,Coopersurgical,,NOT INDICATED,,,,,,,,1,Gynecologic Oncology and Colposcopy Unit,,,,Purchase,,On site.,Good Condition,,1588000,,Kristoffer Ian Buñag,
